Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
985,Rent,848084,5 years,0,6,15.9,629772,0,,0,debt consolidation,Long Term,349140,295336,7053,729,1
986,Rent,,10+ years,0,8,16.6,286308,0,29,0,debt consolidation,Short Term,433708,159486,23176,,0
987,Home Mortgage,1475293,10+ years,0,20,25.1,556336,0,57,0,debt consolidation,Long Term,443696,230622,25941,725,1
988,Home Mortgage,1055659,10+ years,0,10,16.5,1029226,0,,0,debt consolidation,Short Term,222244,617766,15307,741,1
989,Home Mortgage,785688,5 years,0,7,19.4,191378,0,30,0,home improvements,Short Term,155584,37677,12112,722,0
990,Home Mortgage,,10+ years,0,19,44.5,891990,0,,0,other,Long Term,661826,486096,31948,,1
991,Home Mortgage,1362319,3 years,0,7,21.5,509542,0,45,0,other,Short Term,140844,359081,22705,725,0
992,Own Home,,10+ years,0,16,18.4,1529440,0,,0,home improvements,Long Term,353980,248330,32839,,0
993,Rent,,10+ years,0,8,9.5,700370,0,,0,debt consolidation,Short Term,243188,285494,17779,,0
994,Rent,1705478,1 year,0,6,15.5,60764,0,28,0,debt consolidation,Short Term,56430,43814,13445,701,0
995,Home Mortgage,,5 years,0,14,14.7,1029226,0,,0,wedding,Short Term,165022,845310,31724,,1
996,Home Mortgage,677901,< 1 year,0,11,11.3,174284,0,,0,debt consolidation,Short Term,215050,124925,14292,741,0
997,Rent,2900730,10+ years,0,9,28.6,304414,0,30,0,debt consolidation,Short Term,783706,176396,17308,669,0
998,Home Mortgage,1125142,8 years,0,17,16.5,570548,0,,0,debt consolidation,Long Term,393096,284810,22597,676,0
